"Year","Date","Primary.Type","Location.Description","DISTRICT","Latitude","Longitude","Location","near_bar","near_bar_name","bar_lat","bar_lng","DISTRICT.NAME","distance_range","time","time_cate"
2023,"09/23/2023 10:50:00 PM","BATTERY","STREET","5",41.67148729,-87.636887283,"(41.67148729, -87.636887283)",390.967504212655,"THE SPOT SOCIAL HOUR",41.671818178,-87.641561374,"Calumet","300~400",2024-04-22 22:50:00,"nighttime"
2023,"09/23/2023 12:50:00 AM","BATTERY","STREET","5",41.651834408,-87.613622285,"(41.651834408, -87.613622285)",270.214191984979,"PAUL STROMBECK",41.651314225,-87.610453477,"Calumet","200~300",2024-04-22 00:50:00,"nighttime"
2023,"09/23/2023 01:43:00 AM","BATTERY","STREET","3",41.758717175,-87.591548894,"(41.758717175, -87.591548894)",360.436738481252,"CLUB ESCAPE",41.758864314,-87.587219247,"Grand Crossing","300~400",2024-04-22 01:43:00,"nighttime"
2023,"09/23/2023 08:50:00 PM","ASSAULT","STREET","3",41.777785281,-87.607130693,"(41.777785281, -87.607130693)",461.383527900445,"INFLATION LOUNGE",41.780201228,-87.611645259,"Grand Crossing","400~500",2024-04-22 20:50:00,"nighttime"
2023,"09/23/2023 04:20:00 AM","BATTERY","STREET","4",41.727427413,-87.560850864,"(41.727427413, -87.560850864)",336.828962079747,"NORMAS PLACE",41.728071017,-87.556894801,"South Chicago","300~400",2024-04-22 04:20:00,"nighttime"
2023,"09/23/2023 03:00:00 PM","ROBBERY","SIDEWALK","5",41.685440512,-87.611695618,"(41.685440512, -87.611695618)",515.657831587423,"PULLMAN'S PUB",41.689064775,-87.607824578,"Calumet","500~1000",2024-04-22 15:00:00,"daytime"
2023,"09/23/2023 06:37:00 PM","ASSAULT","SIDEWALK","4",41.728134806,-87.560347829,"(41.728134806, -87.560347829)",287.387976070674,"NORMAS PLACE",41.728071017,-87.556894801,"South Chicago","200~300",2024-04-22 18:37:00,"nighttime"
2023,"09/23/2023 11:44:00 AM","BATTERY","SIDEWALK","4",41.757246381,-87.560757256,"(41.757246381, -87.560757256)",675.674406092599,"LEISURE LIFE LOUNGE",41.751863534,-87.564542243,"South Chicago","500~1000",2024-04-22 11:44:00,"daytime"
2023,"09/23/2023 01:30:00 AM","BATTERY","STREET","1",41.886832476,-87.627557257,"(41.886832476, -87.627557257)",100.698272180997,"GOVNOR'S PUB",41.88594379,-87.627797324,"Central","100~200",2024-04-22 01:30:00,"nighttime"
2023,"09/23/2023 10:00:00 AM","CRIMINAL DAMAGE","STREET","4",41.729938673,-87.561700021,"(41.729938673, -87.561700021)",450.411754147118,"NORMAS PLACE",41.728071017,-87.556894801,"South Chicago","400~500",2024-04-22 10:00:00,"daytime"
2023,"09/23/2023 11:17:00 PM","ROBBERY","STREET","2",41.803335167,-87.603761388,"(41.803335167, -87.603761388)",780.349504367969,"LEON'S 722 LOUNGE",41.809622828,-87.607951193,"Wentworth","500~1000",2024-04-22 23:17:00,"nighttime"
2023,"09/23/2023 11:35:00 PM","ROBBERY","SIDEWALK","2",41.802232145,-87.607254487,"(41.802232145, -87.607254487)",822.91885335758,"LEON'S 722 LOUNGE",41.809622828,-87.607951193,"Wentworth","500~1000",2024-04-22 23:35:00,"nighttime"
2023,"09/23/2023 01:07:00 PM","ROBBERY","SIDEWALK","4",41.722448807,-87.576874247,"(41.722448807, -87.576874247)",1294.19372595898,"FAMILY DEN",41.732049135,-87.585689499,"South Chicago","1000~1500",2024-04-22 13:07:00,"daytime"
2023,"01/09/2023 08:10:00 PM","HOMICIDE","STREET","3",41.780243493,-87.615319321,"(41.780243493, -87.615319321)",71.5505414366041,"MICHELE'S LOUNGE",41.779608393,-87.615463462,"Grand Crossing","60~80",2024-04-22 20:10:00,"nighttime"
2023,"09/24/2023 01:50:00 AM","ROBBERY","ALLEY","1",41.8756606,-87.627100039,"(41.8756606, -87.627100039)",191.774980951474,"MANHATTAN'S ON DEARBORN",41.876516248,-87.629106631,"Central","100~200",2024-04-22 01:50:00,"nighttime"
2023,"09/24/2023 01:00:00 AM","CRIMINAL DAMAGE","STREET","1",41.853836827,-87.625519566,"(41.853836827, -87.625519566)",17.5243838676671,"CHICAGO LEGEND",41.85395238,-87.625375873,"Central","0~20",2024-04-22 01:00:00,"nighttime"
2023,"09/24/2023 06:51:00 PM","BATTERY","STREET","3",41.766859179,-87.606960677,"(41.766859179, -87.606960677)",299.037994664576,"SPRAGG'S LOUNGE",41.765687612,-87.61019858,"Grand Crossing","200~300",2024-04-22 18:51:00,"nighttime"
2023,"09/24/2023 05:00:00 PM","ROBBERY","STREET","4",41.727356848,-87.58544391,"(41.727356848, -87.58544391)",521.56351432615,"FAMILY DEN",41.732049135,-87.585689499,"South Chicago","500~1000",2024-04-22 17:00:00,"daytime"
2023,"09/24/2023 01:30:00 PM","CRIMINAL DAMAGE","ALLEY","4",41.746417669,-87.555918101,"(41.746417669, -87.555918101)",316.778169854302,"ANTHONY S BLUE VISTA",41.748228461,-87.552975707,"South Chicago","300~400",2024-04-22 13:30:00,"daytime"
2023,"09/24/2023 05:06:00 PM","BATTERY","STREET","2",41.828618942,-87.628949227,"(41.828618942, -87.628949227)",613.053356352526,"MR T'S",41.830232565,-87.621891823,"Wentworth","500~1000",2024-04-22 17:06:00,"daytime"
2023,"09/24/2023 06:40:00 AM","CRIMINAL DAMAGE","STREET","5",41.699008423,-87.60732926,"(41.699008423, -87.60732926)",450.771469244494,"CLAY'S BAR",41.702212398,-87.60400511,"Calumet","400~500",2024-04-22 06:40:00,"daytime"
